article_title,revision_id,url,country,article_quality
Álvaro Arnaldo Craveiro,1194150567,https://en.wikipedia.org/wiki/Álvaro_Arnaldo_Craveiro,Angola,Stub
Raul Danda,1158035855,https://en.wikipedia.org/wiki/Raul_Danda,Angola,Stub
Diamantino Pedro Azevedo,1209522689,https://en.wikipedia.org/wiki/Diamantino_Pedro_Azevedo,Angola,Stub
Faustina Fernandes Inglês de Almeida Alves,1209514085,https://en.wikipedia.org/wiki/Faustina_Fernandes_Inglês_de_Almeida_Alves,Angola,Stub
Abraão Gourgel,1124441544,https://en.wikipedia.org/wiki/Abraão_Gourgel,Angola,Stub
Jofre Van-Dúnem Júnior,1242307432,https://en.wikipedia.org/wiki/Jofre_Van-Dúnem_Júnior,Angola,Stub
José Carvalho da Rocha,1242307441,https://en.wikipedia.org/wiki/José_Carvalho_da_Rocha,Angola,Stub
José Luis de Matos,1242307337,https://en.wikipedia.org/wiki/José_Luis_de_Matos,Angola,Stub
Kambamba Kulaxingo,1093124425,https://en.wikipedia.org/wiki/Kambamba_Kulaxingo,Angola,Stub
Jesus Faria Maiato,1209631313,https://en.wikipedia.org/wiki/Jesus_Faria_Maiato,Angola,Stub
Manuel Neto da Costa,1209411144,https://en.wikipedia.org/wiki/Manuel_Neto_da_Costa,Angola,Stub
Manuel Tavares de Almeida,1209411217,https://en.wikipedia.org/wiki/Manuel_Tavares_de_Almeida,Angola,Stub
Marcos Alexandre Nhunga,1209413818,https://en.wikipedia.org/wiki/Marcos_Alexandre_Nhunga,Angola,Stub
Maria Cândida Pereira Teixeira,1218506469,https://en.wikipedia.org/wiki/Maria_Cândida_Pereira_Teixeira,Angola,Stub
